"date","max(difficulty)"
"2017-04-17",286056915711056
"2017-04-18",297836069246374
"2017-04-19",299629089177543
"2017-04-20",291168422599896
"2017-04-21",303635527812027
"2017-04-22",308784676302050
"2017-04-23",307830572197350
"2017-04-24",308300774357339
"2017-04-25",308404031171033
"2017-04-26",317763582072430
"2017-04-27",323221449883361
"2017-04-28",345110177587705
"2017-04-29",354948618497802
"2017-04-30",341783731876187
"2017-05-01",345512803409717
"2017-05-02",347325594510963
"2017-05-03",349063386114532
"2017-05-04",346304708690997
"2017-05-05",363343037838786
"2017-05-06",357320982672419
"2017-05-07",366996751115631
"2017-05-08",370125469784653
"2017-05-09",375528832368954
"2017-05-10",375663461206039
"2017-05-11",382473098864998
"2017-05-12",390493419711683
"2017-05-13",407156597143885
"2017-05-14",420061585120336
"2017-05-15",424303796495167
"2017-05-16",429475989352056
"2017-05-17",427317291335917
"2017-05-18",435293028289898
"2017-05-19",443190034220727
"2017-05-20",465078104005542
"2017-05-21",464953183402562
"2017-05-22",477251510944484
"2017-05-23",462661433418905
"2017-05-24",467348800891260
"2017-05-25",469939679198698
"2017-05-26",477670252002091
"2017-05-27",487084858085134
"2017-05-28",479449920878038
"2017-05-29",510326400412987
"2017-05-30",538189307989446
"2017-05-31",537282958043172
"2017-06-01",595132741134910
"2017-06-02",599750120633099
"2017-06-03",592281342675929
"2017-06-04",616471839030274
"2017-06-05",636994585927138
"2017-06-06",635085609396466
"2017-06-07",665681662778657
"2017-06-08",659871215480225
"2017-06-09",664935700485258
"2017-06-10",697959901749246
"2017-06-11",704410807748438
"2017-06-12",696745303555908
"2017-06-13",716873614062533
"2017-06-14",733326392391084
"2017-06-15",752268241718526
"2017-06-16",762463613149663
"2017-06-17",799502309408896
"2017-06-18",792866732897556
"2017-06-19",803044862077876
"2017-06-20",880271276941586
"2017-06-21",908104066728701
"2017-06-22",903656294271326
"2017-06-23",910459851500984
"2017-06-24",912805929314017
"2017-06-25",941432111255199
"2017-06-26",970128377899805
"2017-06-27",956698339912623
"2017-06-28",989977899299258
"2017-06-29",988511395641593
"2017-06-30",1010351255271368
"2017-07-01",1026143676256301
"2017-07-02",1057658666437801
"2017-07-03",1033320589275214
"2017-07-04",1069046653343866
"2017-07-05",1066578296308432
"2017-07-06",1087522702903385
"2017-07-07",1089516213912363
"2017-07-08",1100429739665317
"2017-07-09",1159704593974827
"2017-07-10",1241628562919421
"2017-07-11",1238748052106285
"2017-07-12",1241589061212811
"2017-07-13",1257028635394258
"2017-07-14",1221919816769476
"2017-07-15",1274963028595869
"2017-07-16",1292778817597943
"2017-07-17",1267064620260029
"2017-07-18",1267179687844009
"2017-07-19",1312203937525203
"2017-07-20",1339882582863740
"2017-07-21",1354666956568460
"2017-07-22",1337529432563311
"2017-07-23",1366408315247458
"2017-07-24",1382358369080518
"2017-07-25",1369262475198325
"2017-07-26",1380384635660429
"2017-07-27",1363688534117712
"2017-07-28",1374125234018714
"2017-07-29",1367663454708637
"2017-07-30",1404786988843894
"2017-07-31",1581114675129895
"2017-08-01",1711632265121351
"2017-08-02",1669200046602753
"2017-08-03",1661833058947568
"2017-08-04",1640623131451385
"2017-08-05",1637877564823113
"2017-08-06",1653078666620552
"2017-08-07",1686775291132226
"2017-08-08",1727293396980258
"2017-08-09",1718477469499629
"2017-08-10",1708734610167811
"2017-08-11",1710629487715242
"2017-08-12",1769438668444115
"2017-08-13",1762136028858809
"2017-08-14",1763023144757594
"2017-08-15",1786269844571509
"2017-08-16",1821681479153893
"2017-08-17",1807211090647414
"2017-08-18",1797277596164862
"2017-08-19",1869556102063484
"2017-08-20",1849670974114109
"2017-08-21",1875908876798037
"2017-08-22",1881986499532024
"2017-08-23",1887511576933613
"2017-08-24",2041132065488779
"2017-08-25",2260445131389098
"2017-08-26",2321637974625944
"2017-08-27",2239514389476797
"2017-08-28",2219132650030342
"2017-08-29",2277451061143478
"2017-08-30",2315264076587719
"2017-08-31",2323405126091741
"2017-09-01",2295765361008905
"2017-09-02",2334438574862943
"2017-09-03",2343915052908418
"2017-09-04",2303429255146344
"2017-09-05",2321132660942035
"2017-09-06",2345870088606280
"2017-09-07",2353674668613210
"2017-09-08",2434696683793591
"2017-09-09",2408943073306504
"2017-09-10",2401812032206647
"2017-09-11",2402455442908242
"2017-09-12",2460953107951105
"2017-09-13",2388572778817234
"2017-09-14",2399806478812383
"2017-09-15",2440693899972963
"2017-09-16",2433851922966171
"2017-09-17",2473883027077857
"2017-09-18",2499227366510931
"2017-09-19",2465666855342102
"2017-09-20",2447982366050867
"2017-09-21",2566249301420408
"2017-09-22",3119445906147786
"2017-09-23",3054656734447037
"2017-09-24",3094618014246854
"2017-09-25",3091183168659060
"2017-09-26",2987833077263118
"2017-09-27",3027728857004319
"2017-09-28",3021219190264026
"2017-09-29",2927617803353572
"2017-09-30",2896307056045043
"2017-10-01",2975634893089351
"2017-10-02",2982470595778074
"2017-10-03",2923490345326373
"2017-10-04",3046542032446207
"2017-10-05",3052975108224817
"2017-10-06",3081176818739735
"2017-10-07",2993665841931425
"2017-10-08",3019172020936245
"2017-10-09",3030140444393560
"2017-10-10",3095806921242346
"2017-10-11",3075095772573860
"2017-10-12",3097686879066690
"2017-10-13",3155085473721491
"2017-10-14",3023487281430468
"2017-10-15",3084951460660310
"2017-10-16",3043964542780713
"2017-10-17",1528815627932702
"2017-10-18",1443094229688743
"2017-10-19",1507981550482993
"2017-10-20",1495198765824628
"2017-10-21",1527445949468808
"2017-10-22",1521767068760680
"2017-10-23",1497887434371183
"2017-10-24",1551772423869471
"2017-10-25",1552847179446435
"2017-10-26",1486087728477496
"2017-10-27",1484523915909247
"2017-10-28",1510041438259042
"2017-10-29",1523030363847230
"2017-10-30",1491395974706769
"2017-10-31",1520766763028752
"2017-11-01",1552875429924861
"2017-11-02",1486198886662210
"2017-11-03",1454090460043058
"2017-11-04",1458060045837270
"2017-11-05",1479137041821101
"2017-11-06",1497306190581303
"2017-11-07",1458642456750358
"2017-11-08",1490979088326003
"2017-11-09",1471475615791882
"2017-11-10",1502282157468502
"2017-11-11",1505071921233106
"2017-11-12",1555278004848169
"2017-11-13",1496299595451086
"2017-11-14",1509011615188710
"2017-11-15",1471198184731342
"2017-11-16",1470354560667184
"2017-11-17",1449163239521615
"2017-11-18",1417309933539791
"2017-11-19",1456520198844282
"2017-11-20",1543244103818512
"2017-11-21",1521316065453229
"2017-11-22",1525329400772598
"2017-11-23",1561418148956014
"2017-11-24",1615221104379517
"2017-11-25",1603110450362310
"2017-11-26",1608262235436063
"2017-11-27",1585053118899251
"2017-11-28",1547871142506781
"2017-11-29",1597838689815847
"2017-11-30",1581219671649018
"2017-12-01",1598367371211174
"2017-12-02",1619985875089214
"2017-12-03",1561871882829315
"2017-12-04",1574417126638809
"2017-12-05",1535979472362314
"2017-12-06",1506499745375824
"2017-12-07",1580516896976244
"2017-12-08",1596115596377382
"2017-12-09",1618293031687557
"2017-12-10",1606875180587930
"2017-12-11",1636385116751318
"2017-12-12",1607513551132126
"2017-12-13",1666084192771248
"2017-12-14",1694767040502310
"2017-12-15",1817348862281566
"2017-12-16",1809151447713085
"2017-12-17",1814296354033413
"2017-12-18",1862359403999185
"2017-12-19",1784567959248772
"2017-12-20",1762433998267063
"2017-12-21",1784824447175369
"2017-12-22",1824985437567136
"2017-12-23",1896569253365650
"2017-12-24",1879560495292776
"2017-12-25",1897836627022611
"2017-12-26",1923305266547748
"2017-12-27",1913786719249496
"2017-12-28",1980198610132194
"2017-12-29",1917084103630474
"2017-12-30",1933018251284311
"2017-12-31",1967243184500317
"2018-01-01",2009233669703449
"2018-01-02",1996897911432582
"2018-01-03",1973169700207956
"2018-01-04",1979989764051555
"2018-01-05",1992431793710138
"2018-01-06",1954295871296231
"2018-01-07",2078992964889193
"2018-01-08",2071854418236164
"2018-01-09",2051862295664325
"2018-01-10",2091897638651467
"2018-01-11",2123562013292737
"2018-01-12",2177468752174605
"2018-01-13",2207944161955448
"2018-01-14",2297490772066175
"2018-01-15",2263346571937995
"2018-01-16",2286318596204406
"2018-01-17",2346448213744235
"2018-01-18",2335387773639191
"2018-01-19",2341951728308614
"2018-01-20",2507123176492786
"2018-01-21",2454020730444489
"2018-01-22",2455864935764083
"2018-01-23",2454293383276193
"2018-01-24",2550920751060219
"2018-01-25",2599996016319951
"2018-01-26",2571147093730297
"2018-01-27",2571687165433546
"2018-01-28",2625444502017238
"2018-01-29",2699006968793773
"2018-01-30",2747640197227571
"2018-01-31",2727337146136926
"2018-02-01",2737578988237232
"2018-02-02",2792496770034941
"2018-02-03",2873648548107542
"2018-02-04",2870691055012301
"2018-02-05",2878744845718877
"2018-02-06",2866761970873875
"2018-02-07",2904686927208214
"2018-02-08",2885556620532153
"2018-02-09",2982823179817893
"2018-02-10",3017186300289947
"2018-02-11",3066665790489372
"2018-02-12",3084966274360161
"2018-02-13",3045321997689690
"2018-02-14",3092719257338071
"2018-02-15",3010175558009619
"2018-02-16",3096811584797998
"2018-02-17",3091116940659127
"2018-02-18",3076147452623805
"2018-02-19",3046858080300979
"2018-02-20",2994432085079119
"2018-02-21",3033743531866931
"2018-02-22",3072317762216495
"2018-02-23",3140717574022124
"2018-02-24",3114629068220350
"2018-02-25",3219116359235946
"2018-02-26",3153927429990748
"2018-02-27",3104751767370970
"2018-02-28",3129968657096826
"2018-03-01",3193007694421545
"2018-03-02",3232364490601742
"2018-03-03",3297760385189392
"2018-03-04",3279843890803144
"2018-03-05",3251230074048534
"2018-03-06",3218977922139055
"2018-03-07",3283416512602902
"2018-03-08",3323235529232101
"2018-03-09",3236176817116093
"2018-03-10",3277696032032527
"2018-03-11",3267379065136556
"2018-03-12",3286260605476435
"2018-03-13",3260640777866867
"2018-03-14",3227738300949633
"2018-03-15",3265463763083559
"2018-03-16",3406828001270033
"2018-03-17",3387782247979365
"2018-03-18",3341299154565364
"2018-03-19",3388710290548223
"2018-03-20",3356892056409222
"2018-03-21",3368298030936863
"2018-03-22",3325031117444096
"2018-03-23",3440160102925826
"2018-03-24",3344117200818930
"2018-03-25",3364873486054505
"2018-03-26",3437747478721675
"2018-03-27",3378638102415015
"2018-03-28",3326506168694841
"2018-03-29",3301531972280116
"2018-03-30",3322344857154320
"2018-03-31",3323827474461886
"2018-04-01",3334647908839701
