<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S&P 500,D,20130409,000000,1562.94,1573.88,1560.96,1567.97,0,0
S&P 500,D,20130410,000000,1568.57,1589.02,1568.51,1587.51,0,0
S&P 500,D,20130411,000000,1587.6,1597.35,1586.18,1592.9,0,0
S&P 500,D,20130412,000000,1593.17,1593.37,1580.03,1588.65,0,0
S&P 500,D,20130413,000000,1588.71,1588.86,1588.71,1588.85,0,0
S&P 500,D,20130414,000000,1588.85,1588.85,1588.85,1588.85,0,0
S&P 500,D,20130415,000000,1588.84,1588.84,1553.33,1553.33,0,0
S&P 500,D,20130416,000000,1552.28,1575.35,1552.28,1574.3,0,0
S&P 500,D,20130417,000000,1574.5,1574.57,1543.78,1552.01,0,0
S&P 500,D,20130418,000000,1551.72,1554.38,1536.06,1542.08,0,0
S&P 500,D,20130419,000000,1541.77,1555.86,1539.4,1555.38,0,0
S&P 500,D,20130420,000000,1554.99,1555.26,1554.99,1555.25,0,0
S&P 500,D,20130421,000000,1555.25,1555.25,1555.25,1555.25,0,0
S&P 500,D,20130422,000000,1557.29,1565.52,1548.19,1562.58,0,0
S&P 500,D,20130423,000000,1562.4,1579.58,1562.4,1578.76,0,0
S&P 500,D,20130424,000000,1578.64,1583,1575.81,1578.01,0,0
S&P 500,D,20130425,000000,1578.73,1592.64,1578.73,1585.32,0,0
S&P 500,D,20130426,000000,1585.39,1585.78,1577.56,1582.65,0,0
S&P 500,D,20130427,000000,1582.39,1582.39,1582.23,1582.24,0,0
S&P 500,D,20130428,000000,1582.24,1582.24,1582.24,1582.24,0,0
S&P 500,D,20130429,000000,1582.34,1596.65,1582.34,1593.38,0,0
S&P 500,D,20130430,000000,1593.32,1597.38,1586.54,1596.46,0,0
S&P 500,D,20130501,000000,1597.14,1597.57,1581.28,1582.66,0,0
S&P 500,D,20130502,000000,1582.85,1598.6,1582.69,1597.51,0,0
S&P 500,D,20130503,000000,1597.36,1618.46,1597.36,1614.19,0,0
S&P 500,D,20130504,000000,1614.01,1614.42,1614.01,1614.42,0,0
S&P 500,D,20130505,000000,1614.42,1614.42,1614.42,1614.42,0,0
S&P 500,D,20130506,000000,1614.69,1619.77,1614.21,1617.27,0,0
S&P 500,D,20130507,000000,1617.52,1626.03,1616.64,1625.76,0,0
S&P 500,D,20130508,000000,1625.77,1632.75,1622.7,1632.65,0,0
S&P 500,D,20130509,000000,1632.62,1635.01,1623.09,1625.89,0,0
S&P 500,D,20130510,000000,1626.62,1633.47,1623.71,1633.34,0,0
S&P 500,D,20130511,000000,1633.37,1633.7,1633.37,1633.7,0,0
S&P 500,D,20130512,000000,1633.7,1633.7,1633.7,1633.7,0,0
S&P 500,D,20130513,000000,1631.96,1635.98,1626.74,1633.86,0,0
S&P 500,D,20130514,000000,1633.89,1651.1,1633.74,1650.35,0,0
S&P 500,D,20130515,000000,1650.42,1661.46,1646.68,1658.72,0,0
S&P 500,D,20130516,000000,1658.6,1660.51,1648.6,1651.24,0,0
S&P 500,D,20130517,000000,1650.83,1667.38,1650.37,1667.37,0,0
S&P 500,D,20130518,000000,1665.97,1667.47,1665.97,1667.47,0,0
S&P 500,D,20130519,000000,1667.47,1667.47,1667.47,1667.47,0,0
S&P 500,D,20130520,000000,1665.71,1672.84,1663.52,1666.13,0,0
S&P 500,D,20130521,000000,1666.3,1674.93,1662.67,1669.18,0,0
S&P 500,D,20130522,000000,1669.22,1687.18,1648.86,1655.43,0,0
